Date,FY,Quantity,Value,April,August,December,February,January,July,June,March,May,November,October,September,t,t_square,log_Quantity
2017-05-22,FY 18,4.01,168420.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.3887912413184778
2017-05-22,FY 18,5.52,223954.29,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.7083778602890038
2017-05-22,FY 18,5.28,221760.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.6639260977181702
2017-05-22,FY 18,20.17,861259.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,3.0041963519661206
2017-05-22,FY 18,5.21,218820.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.6505798557652755
2017-05-23,FY 18,5.29,215303.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.665818245870208
2017-05-23,FY 18,2.01,84822.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0.6981347220709843
2017-05-23,FY 18,0.99,40392.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,-0.01005033585350145
2017-05-24,FY 18,1.95,82290.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0.6678293725756554
2017-05-24,FY 18,1.02,43044.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0.01980262729617973
2017-05-24,FY 18,10.71,449820.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,2.3711778844596574
2017-05-24,FY 18,24.34,1039318.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,3.1921210875593813
2017-05-25,FY 18,4.01,171227.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.3887912413184778
2017-05-25,FY 18,3.65,154030.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.2947271675944
2017-05-25,FY 18,0.17,6885.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,-1.7719568419318752
2017-05-25,FY 18,5.35,224700.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.6770965609079151
2017-05-27,FY 18,2.01,84822.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0.6981347220709843
2017-05-27,FY 18,5.96,250320.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.7850704810772584
2017-05-27,FY 18,1.0,42200.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0.0
2017-05-27,FY 18,3.26,136920.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.1817271953786161
2017-05-27,FY 18,0.59,24780.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,-0.527632742082372
2017-05-27,FY 18,0.33,14190.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,-1.1086626245216111
2017-05-27,FY 18,1.99,85570.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0.688134638736401
2017-05-27,FY 18,3.59,150780.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.2781522025001875
2017-05-29,FY 18,1.97,82740.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0.6780335427498971
2017-05-29,FY 18,4.97,209734.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.6034198401085373
2017-05-29,FY 18,3.47,145740.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1.244154593958768
2017-05-29,FY 18,1.6,67200.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0.47000362924573563
2017-05-29,FY 18,14.89,635803.0,False,False,False,False,False,False,False,False,True,False,False,False,1,1,2.7006898466959175
